Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
PLEKHM2,0.171965,0.935545,1.30504,1.30504,0.398629,0.853797,1.18019,1.18019
PLEKHM3,0.538562,0.949347,1.14677,1.14677,0.100853,0.566992,0.695775,-1.43725
PLEKHO1,0.564721,0.951031,1.09732,1.09732,0.569665,0.913014,1.10402,1.10402
PLEKHO2,0.919895,0.992315,1.0173,1.0173,0.17817,0.679545,1.30544,1.30544
PLGRKT,0.474711,0.94373,0.667258,-1.49867,0.433954,0.868621,0.6363,-1.57159
PLIN2,0.161512,0.935545,1.48286,1.48286,0.839847,0.96996,1.05612,1.05612
PLIN3,0.0845309,0.935545,1.35538,1.35538,0.0127113,0.307614,1.64124,1.64124
PLK3,0.17856,0.935545,0.713085,-1.40236,0.71482,0.947259,0.895998,-1.11607
PLOD1,0.139018,0.935545,1.48055,1.48055,0.155633,0.646384,1.45481,1.45481
PLOD3,0.352403,0.93951,1.29661,1.29661,0.595502,0.919735,1.15815,1.15815
PLP2,0.0948027,0.935545,1.38302,1.38302,0.0517181,0.466535,1.52324,1.52324
PLPBP,0.434441,0.94373,1.1574,1.1574,0.448063,0.872892,1.17738,1.17738
PLPP1,0.0242415,0.935545,2.29091,2.29091,0.547478,0.904753,1.19715,1.19715
PLPP5,0.38504,0.93951,0.825654,-1.21116,0.0174796,0.339355,0.560564,-1.78392
PLPP6,0.0411546,0.935545,0.564764,-1.77065,0.0885643,0.551555,0.57318,-1.74465
PLPPR2,0.227193,0.935545,0.787413,-1.26998,0.320176,0.805192,0.809997,-1.23457
PLRG1,0.394742,0.940011,0.822189,-1.21627,0.0253454,0.38278,0.567328,-1.76265
PLSCR1,0.492075,0.94373,0.667337,-1.49849,0.52686,0.898455,1.85813,1.85813
